DeptName,Bounds,Util_lo,Util_lo_CI,Util_hi,Util_hi_CI
Ranerou Ferlo,81,0.0002791587989329214,"(0.00026111231719228023, 0.00029720528067356256)",0.004896954500760525,"(0.004766440368001917, 0.005027468633519133)"
Rufisque,81,0.0001652410605231247,"(0.00014607614135381253, 0.00018440597969243688)",0.00898709873664122,"(0.008811071067914567, 0.009163126405367872)"
Saint-Louis,81,8.984694137476046e-05,"(7.471695387067934e-05, 0.00010497692887884158)",0.007632403605389831,"(0.007491921791908773, 0.00777288541887089)"
Salemata,81,0.00010322104546567346,"(8.118395324885341e-05, 0.0001252581376824935)",0.0064717113209290245,"(0.006286489422901331, 0.006656933218956718)"
Saraya,81,0.0002342650793614176,"(0.0002079662631606083, 0.0002605638955622269)",0.004973532038928613,"(0.004817637565682653, 0.005129426512174573)"
Sedhiou,81,0.00021203900268601528,"(0.000169947596230402, 0.00025413040914162854)",0.004916720563739291,"(0.004794388800813926, 0.005039052326664656)"
Tambacounda,81,9.608049702708454e-05,"(7.750359422742381e-05, 0.00011465739982674528)",0.007766110356304562,"(0.007597153090794617, 0.007935067621814507)"
Thies,81,0.00014524233994994695,"(0.00011971067046301354, 0.00017077400943688037)",0.008381144841924454,"(0.008164955486616193, 0.008597334197232714)"
Tivaoune,81,0.00033760729813236967,"(0.0002755162514616605, 0.00039969834480307886)",0.010499325830587769,"(0.010253272476182962, 0.010745379184992576)"
Velingara,81,0.0002523455830602539,"(0.00024535531401298494, 0.00025933585210752286)",0.007245296931041173,"(0.007151184985406983, 0.007339408876675363)"
Ziguinchor,81,0.0005341966164775225,"(0.0004975625145904328, 0.0005708307183646122)",0.00687506405809904,"(0.006755756190308382, 0.0069943719258896975)"
